"","age","annual_salary","professional_experience_years","highest_edu_level","gender","industry","job_title"
"304","25-34",85000,"8 - 10 years","College degree","Man","Nonprofits","Community Support Manager"
"305","35-44",86000,"8 - 10 years","College degree","Woman","Computing or Tech","Junior Project Manager"
"306","35-44",85000,"11 - 20 years","College degree","Woman","Computing or Tech","Business Analyst"
"307","45-54",94000,"21 - 30 years","PhD","Woman","Education (Primary/Secondary)","teacher"
"308","45-54",104000,"21 - 30 years","Master's degree","Woman","Computing or Tech","Software Development Project Manager"
"309","45-54",88000,"8 - 10 years","College degree","Woman","Computing or Tech","Human Resources Manager"
"310","35-44",52000,"11 - 20 years","College degree","Woman","Government and Public Administration","Program Assistant"
"311","25-34",65000,"8 - 10 years","College degree","Woman","Computing or Tech","Programmer Analyst 2"
"312","45-54",175000,"21 - 30 years","College degree","Man","Computing or Tech","Sr development Manager"
"313","25-34",134000,"8 - 10 years","Master's degree","Woman","Business or Consulting","Consultant"
"314","35-44",98500,"21 - 30 years","College degree","Woman","Hospitality & Events","Controller"
"315","35-44",43000,"8 - 10 years","College degree","Woman","Health care","Registered behavior technician"
"316","45-54",36712,"11 - 20 years","College degree","Woman","Nonprofits","Office Administrator"
"317","35-44",112000,"11 - 20 years","College degree","Woman","Computing or Tech","Software Engineer"
"318","25-34",85000,"11 - 20 years","College degree","Woman","Politics","Compliance Manager"
"319","25-34",60000,"8 - 10 years","Master's degree","Woman","Health care","Speech-Language Pathologist"
"320","35-44",50000,"11 - 20 years","High School","Woman","Law","Transcriptionist"
"321","18-24",52000,"2 - 4 years","College degree","Woman","Government and Public Administration","Disease Intervention Specialist"
"322","25-34",57000,"5-7 years","Master's degree","Woman","Government and Public Administration","Lead Planner"
"323","25-34",51000,"5-7 years","College degree","Woman","Accounting, Banking & Finance","Internal Auditor"
"324","25-34",54000,"5-7 years","College degree","Woman","Accounting, Banking & Finance","CPA"
"325","25-34",56000,"8 - 10 years","Master's degree","Woman","Education (Higher Education)","Director of Distance Education"
"326","25-34",56000,"2 - 4 years","PhD","Woman","Education (Higher Education)","Assistant Professor"
"327","18-24",39000,"2 - 4 years","College degree","Woman","Nonprofits","Program Coordinator"
"328","25-34",40000,"8 - 10 years","College degree","Woman","Accounting, Banking & Finance","Billing & Accounts Receivable Coordinator"
"329","45-54",68000,"11 - 20 years","College degree","Woman","Software as a Service SaaS","Director, Learning Content & Training"
"330","35-44",65000,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Branch Manager"
"331","25-34",67000,"8 - 10 years","Master's degree","Woman","Public health in higher education","Program Manager"
"332","25-34",126000,"8 - 10 years","College degree","Woman","Government and Public Administration","program analyst"
"333","25-34",75000,"5-7 years","Master's degree","Woman","Business or Consulting","Planning analyst"
"334","35-44",50000,"11 - 20 years","Master's degree","Woman","Business Services","Representative"
"335","45-54",146000,"11 - 20 years","PhD","Woman","Health care","Clinical Pharmacist"
"336","25-34",1e+05,"8 - 10 years","PhD","Woman","Engineering or Manufacturing","Senior Engineer"
"337","35-44",52000,"11 - 20 years","High School","Woman","Property or Construction","Project Manager"
"338","25-34",135000,"8 - 10 years","College degree","Woman","Accounting, Banking & Finance","Senior Associate"
"339","25-34",131000,"8 - 10 years","College degree","Woman","Computing or Tech","Technical Project Manager"
"340","45-54",64000,"21 - 30 years","Master's degree","Woman","Media & Digital","Special Projects Manager"
"341","25-34",61800,"5-7 years","College degree","Woman","Business or Consulting","Senior employee communications specialist"
"342","18-24",49000,"2 - 4 years","College degree","Woman","Law Enforcement & Security","Library Assistant"
"343","35-44",38800,"11 - 20 years","College degree","Woman","Manufacturing and distributing","Customer Support Representative"
"344","25-34",50000,"11 - 20 years","Master's degree","Woman","Nonprofits","Financial Administrator"
"345","25-34",70000,"8 - 10 years","College degree","Woman","Computing or Tech","Marketing Specialist"
"346","45-54",126000,"31 - 40 years","Master's degree","Woman","Government and Public Administration","Public Health Advisor"
"347","25-34",107000,"8 - 10 years","Master's degree","Woman","Government and Public Administration","Archivist"
"348","25-34",31500,"8 - 10 years","College degree","Woman","Retail","Customer Experience Manager"
"349","25-34",80000,"11 - 20 years","College degree","Woman","Sales","Technical Sales Manager"
"350","45-54",6e+05,"21 - 30 years","PhD","Woman","Law","Equity Partner"
"351","25-34",105000,"8 - 10 years","Master's degree","Man","Business or Consulting","Management Consultant"
"352","35-44",120000,"11 - 20 years","Master's degree","Woman","Law","Counsel"
"353","35-44",82000,"11 - 20 years","College degree","Man","Education (Primary/Secondary)","Programmer Analyst"
"354","35-44",90000,"11 - 20 years","College degree","Woman","Sales","Client Service Manager"
"355","35-44",65000,"11 - 20 years","College degree","Woman","Computing or Tech","Sales"
"356","45-54",80000,"21 - 30 years","College degree","Woman","Computing or Tech","Instructional designer"
"357","35-44",60000,"11 - 20 years","College degree","Woman","Utilities & Telecommunications","Technical Services Team Lead"
"358","25-34",180000,"8 - 10 years","College degree","Woman","Computing or Tech","Proposal Manager"
"359","35-44",157029,"11 - 20 years","Master's degree","Woman","Computing or Tech","Business Architect"
"360","35-44",120000,"11 - 20 years","College degree","Woman","Computing or Tech","Backend Elixir Engineer"
"361","25-34",82000,"8 - 10 years","College degree","Woman","Accounting, Banking & Finance","Senior Digital Content Manager"
"362","35-44",83500,"11 - 20 years","Master's degree","Woman","Engineering or Manufacturing","HR Manager"
"363","25-34",44500,"2 - 4 years","Master's degree","Woman","Nonprofits","Prospect Researcher"
"364","25-34",58240,"5-7 years","Master's degree","Woman","Food manufacturing","Packaging Dept Supervisor"
"365","25-34",107500,"11 - 20 years","College degree","Woman","Nonprofits","Director of Engagement and Annual Giving"
"366","45-54",155000,"11 - 20 years","Master's degree","Woman","Government and Public Administration","Assistant Deputy Director"
"367","25-34",82400,"8 - 10 years","College degree","Woman","Property or Construction","HR Manager"
"368","25-34",65000,"5-7 years","College degree","Woman","Utilities & Telecommunications","QA Analyst IT"
"369","25-34",82500,"5-7 years","College degree","Woman","Marketing, Advertising & PR","Media Planner - Paid Social"
"370","25-34",45000,"2 - 4 years","College degree","Woman","Computing or Tech","Customer Support Representative"
"371","35-44",140000,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","Brand Manager"
"372","25-34",201000,"8 - 10 years","Master's degree","Man","Computing or Tech","Product Manager"
"373","35-44",210000,"11 - 20 years","College degree","Man","Computing or Tech","Engineering Manager"
"374","25-34",115000,"11 - 20 years","College degree","Woman","Computing or Tech","Customer Success Manager"
"375","25-34",58800,"5-7 years","Master's degree","Woman","Education (Higher Education)","Instructional design librarian"
"376","35-44",101360,"8 - 10 years","Master's degree","Woman","Government and Public Administration","Instructional Systems Specialist"
"377","35-44",103000,"21 - 30 years","College degree","Man","Government and Public Administration","IT Specialist I"
"378","35-44",170000,"21 - 30 years","College degree","Woman","Computing or Tech","Director, Corporate Communications "
"379","25-34",80000,"2 - 4 years","Master's degree","Woman","Nonprofits","Managing Editor"
"380","25-34",66805,"8 - 10 years","PhD","Woman","Government and Public Administration","Historian"
"381","35-44",90000,"11 - 20 years","Master's degree","Woman","Recruitment or HR","Senior Talent Acquisition Consultant"
"382","35-44",117000,"11 - 20 years","Master's degree","Woman","Business or Consulting","Assistant director"
"383","25-34",45000,"5-7 years","Master's degree","Woman","Social Work","Staff Therapist"
"384","35-44",54000,"1 year or less","Master's degree","Woman","Education (Higher Education)","Systems Librarian"
"385","25-34",33280,"5-7 years","Master's degree","Woman","Nonprofits","Adult Services Librarian"
"386","25-34",36000,"5-7 years","Master's degree","Woman","Art & Design","Assistant Technology Coordinator"
"387","25-34",58000,"11 - 20 years","College degree","Woman","Research and development","Chemist"
"388","35-44",165000,"11 - 20 years","Master's degree","Woman","Engineering or Manufacturing","Project Manager Specialist"
"389","45-54",102000,"21 - 30 years","Master's degree","Woman","Accounting, Banking & Finance","Sr. Database Analyst"
"390","55-64",136000,"21 - 30 years","College degree","Man","Engineering or Manufacturing","Senior manufacturing engineer"
"391","35-44",110000,"11 - 20 years","Master's degree","Woman","Nonprofits","Director"
"392","35-44",72100,"8 - 10 years","Master's degree","Woman","Nonprofits","Senior Development Manager"
"393","35-44",75000,"21 - 30 years","College degree","Woman","Property or Construction","Accounting Manager"
"394","25-34",55000,"5-7 years","College degree","Woman","Recruitment or HR","Associate of Talent Management and Culture"
"395","35-44",78000,"11 - 20 years","Master's degree","Woman","Business or Consulting","Email Marketing Director"
"396","25-34",50000,"5-7 years","College degree","Woman","Entertainment","Publicity Coordinator"
"397","45-54",145000,"21 - 30 years","College degree","Woman","Health care","HR Business Partner"
"398","55-64",1e+05,"21 - 30 years","College degree","Woman","Engineering or Manufacturing","Controller"
"399","25-34",64800,"5-7 years","Master's degree","Woman","Business or Consulting","Senior Research Analyst"
"400","35-44",70600,"5-7 years","PhD","Woman","Education (Higher Education)","Senior Research Analyst"
"401","45-54",65000,"11 - 20 years","College degree","Woman","Engineering or Manufacturing","Executive Assistant"
"402","35-44",75000,"11 - 20 years","College degree","Woman","Retail","Internal communications specialist"
"403","35-44",40000,"11 - 20 years","College degree","Woman","Media & Digital","Reporter"
"404","35-44",47840,"11 - 20 years","College degree","Woman","Retail","Operations Manager"
"405","35-44",92000,"11 - 20 years","Master's degree","Woman","Nonprofits","Director of Donor Relations"
"406","55-64",165000,"31 - 40 years","Master's degree","Woman","Government and Public Administration","State Librarian & Associate Vice Chancellor for Libraries"
"407","55-64",39917,"31 - 40 years","Master's degree","Woman","Law","Word Processor"
"408","35-44",53000,"11 - 20 years","College degree","Woman","Education (Primary/Secondary)","9-12 grade teacher"
"409","25-34",59400,"2 - 4 years","Master's degree","Woman","Nonprofits","Advocacy and Grassroot Specialist"
"410","18-24",54075,"1 year or less","College degree","Man","Engineering or Manufacturing","Quality Engineer"
"411","25-34",53895,"2 - 4 years","Master's degree","Woman","Government and Public Administration","Budget Analyst"
"412","35-44",76000,"11 - 20 years","College degree","Woman","Health care","Sales Operations"
"413","25-34",67080,"2 - 4 years","Master's degree","Woman","Engineering or Manufacturing","Engineer in Training (Civil)"
"414","45-54",115000,"21 - 30 years","College degree","Woman","B2B Services","Business Systems Manager"
"415","25-34",72000,"8 - 10 years","Master's degree","Woman","Education (Higher Education)","Assistant Director, Data Integrity"
"416","25-34",71400,"8 - 10 years","College degree","Woman","Computing or Tech","Content Development Manager"
